ticker,fiscalPeriod,earningsDate,fiscalEndDate,epsActual,epsEstimate,epsReportedActual,epsReportedEstimate,salesActual,salesEstimate,epsAnalysts,epsReportedAnalysts,salesAnalysts
AAPL,2007Q2,2007-04-25T16:30:00,2007-03-31,0.0311,0.0229,,,5264.0,5170.6717,,,
AAPL,2007Q1,2007-01-17T16:30:00,2006-12-31,0.0407,0.028,,,7115.0,6423.265,,,
AAPL,2006Q4,2006-10-18T16:30:00,2006-09-30,0.0221,0.0181,,,4837.0,4669.8087,,,
AAPL,2006Q3,2006-07-19T16:30:00,2006-06-30,0.0193,0.0157,,,4370.0,4403.5312,,,
AAPL,2006Q2,2006-04-19T16:30:00,2006-03-31,0.0168,0.0155,,,4359.0,4522.4164,,,
AAPL,2006Q1,2006-01-18T16:30:00,2005-12-31,0.0232,0.0217,,,5749.0,5574.6215,,,
AAPL,2005Q4,2005-10-11T16:30:00,2005-09-30,0.0136,0.0133,,,3678.0,3739.3782,,,
AAPL,2005Q3,2005-07-13T08:30:00,2005-06-30,0.0132,0.0112,,,3520.0,3331.6626,,,
AAPL,2005Q2,2005-04-13T08:30:00,2005-03-31,0.0121,0.0087,,,3243.0,3209.015,,,
AAPL,2005Q1,2005-01-12T08:30:00,2004-12-31,0.0125,0.0087,,,3490.0,3194.2121,,,
AAPL,2004Q4,2004-10-13T08:30:00,2004-09-30,0.0048,0.0033,,,2350.0,2151.2017,,,
AAPL,2004Q3,2004-07-14T08:30:00,2004-06-30,0.003,0.0026,,,2014.0,1945.3831,,,
AAPL,2004Q2,2004-04-14T16:30:00,2004-03-31,0.0025,0.0017,,,1909.0,1803.8857,,,
AAPL,2004Q1,2004-01-14T16:30:00,2003-12-31,0.0029,0.0026,,,2006.0,1932.7257,,,
AAPL,2003Q4,2003-10-15T16:30:00,2003-09-30,0.0014,0.0012,,,1715.0,1665.2,,,
AAPL,2003Q3,2003-07-16T16:30:00,2003-06-30,0.0009,0.0006,,,1545.0,1493.6364,,,
AAPL,2003Q2,2003-04-16T08:30:00,2003-03-31,0.0007,0.0004,,,1475.0,1459.4167,,,
AAPL,2003Q1,2003-01-15T16:30:00,2002-12-31,0.0005,0.001,,,1472.0,1520.125,,,
AAPL,2002Q4,2002-10-16T16:30:00,2002-09-30,0.0004,0.0011,,,1443.0,1477.7647,,,
AAPL,2002Q3,2002-07-16T16:30:00,2002-06-30,0.0016,0.0016,,,1429.0,1417.0,,,
AAPL,2002Q2,2002-04-17T16:30:00,2002-03-31,0.002,0.0018,,,1495.0,1456.0769,,,
AAPL,2002Q1,2002-01-16T16:30:00,2001-12-31,0.0079,0.0019,,,1375.0,1429.3636,,,
AAPL,2001Q4,2001-10-17T16:30:00,2001-09-30,0.0032,0.0029,,,1450.0,1482.4167,,,
AAPL,2001Q3,2001-07-17T16:30:00,2001-06-30,0.003,0.0027,,,1475.0,1557.0,,,
AAPL,2001Q2,2001-04-18T16:30:00,2001-03-31,0.002,0.0001,,,1431.0,1377.0,,,
AAPL,2001Q1,2001-01-17T16:30:00,2000-12-31,-0.013,-0.0115,,,1007.0,1004.7143,,,
AAPL,2000Q4,2000-10-18T16:30:00,2000-09-30,0.0054,0.0056,,,1870.0,1858.6667,,,
