ticker,fiscalPeriod,estimateType,estimateDate,relativeFiscalPeriod,estimates,upRevisions,downRevisions,mean,high,low,price
AAPL,2024Q3,S,2024-04-22T00:00:00,2,30,0,7,83348.7272,87467.0,75549.0,165.84
AAPL,2024Q3,S,2024-04-26T00:00:00,2,31,1,8,83191.6402,87467.0,75549.0,169.3
AAPL,2024Q3,S,2024-04-29T00:00:00,2,31,1,10,83003.5419,87467.0,75549.0,173.5
AAPL,2024Q3,S,2024-05-03T00:00:00,1,31,14,9,83778.3592,87467.0,80296.8945,183.38
AAPL,2024Q3,S,2024-05-06T00:00:00,1,32,14,9,83767.541,87467.0,80296.8945,181.71
AAPL,2024Q3,S,2024-05-08T00:00:00,1,32,14,9,83767.542,87467.0,80296.8945,182.74
AAPL,2024Q3,S,2024-05-10T00:00:00,1,32,14,9,83767.5426,87467.0,80296.8945,183.05
AAPL,2024Q3,S,2024-05-12T00:00:00,1,31,14,9,83676.9795,87467.0,80296.8945,183.05
AAPL,2024Q3,S,2024-05-13T00:00:00,1,31,14,9,83676.9742,87467.0,80296.8945,186.28
AAPL,2024Q3,S,2024-05-20T00:00:00,1,32,14,9,83669.35,87467.0,80296.8945,191.04
AAPL,2024Q3,S,2024-05-25T00:00:00,1,32,14,8,83669.35,87467.0,80296.8945,189.98
AAPL,2024Q3,S,2024-05-30T00:00:00,1,31,13,8,83662.2645,87467.0,80296.8945,191.29
AAPL,2024Q3,S,2024-06-04T00:00:00,1,31,13,8,83662.2652,87467.0,80296.8945,194.35
AAPL,2024Q3,S,2024-06-05T00:00:00,1,31,13,8,83663.1355,87467.0,80296.8945,195.87
AAPL,2024Q3,S,2024-06-10T00:00:00,1,31,13,8,83658.6518,87467.0,80296.8945,193.12
AAPL,2024Q3,S,2024-06-17T00:00:00,1,31,13,8,83659.0066,87467.0,80296.8945,216.67
AAPL,2024Q3,S,2024-06-19T00:00:00,1,30,13,8,83771.077,87467.0,81680.0,214.29
AAPL,2024Q3,S,2024-06-25T00:00:00,1,30,13,8,83773.7437,87467.0,81680.0,209.07
AAPL,2024Q3,S,2024-06-26T00:00:00,1,30,13,8,83773.7557,87467.0,81680.0,213.25
AAPL,2024Q3,S,2024-06-27T00:00:00,1,30,13,8,83840.0224,87467.0,81680.0,214.1
AAPL,2024Q3,S,2024-06-29T00:00:00,1,30,13,6,83840.0224,87467.0,81680.0,210.62
AAPL,2024Q3,S,2024-07-03T00:00:00,1,29,12,6,83832.3197,87467.0,81680.0,221.55
AAPL,2024Q3,S,2024-07-08T00:00:00,1,29,12,6,83840.3859,87467.0,81680.0,227.82
AAPL,2024Q3,S,2024-07-10T00:00:00,1,29,11,6,83840.3859,87467.0,81680.0,232.98
AAPL,2024Q3,S,2024-07-12T00:00:00,1,29,11,6,84076.4549,88869.0,81680.0,230.54
AAPL,2024Q3,S,2024-07-13T00:00:00,1,29,11,5,84076.4549,88869.0,81680.0,230.54
AAPL,2024Q3,S,2024-07-15T00:00:00,1,29,11,5,84082.3514,88869.0,81680.0,234.4
AAPL,2024Q3,S,2024-07-16T00:00:00,1,29,12,6,84011.5004,88869.0,81680.0,234.82
AAPL,2024Q3,S,2024-07-17T00:00:00,1,29,4,1,84053.6634,88869.0,81680.0,228.88
AAPL,2024Q3,S,2024-07-18T00:00:00,1,29,4,1,84071.3186,88869.0,81680.0,224.18
AAPL,2024Q3,S,2024-07-19T00:00:00,1,29,4,1,84071.3061,88869.0,81680.0,224.31
AAPL,2024Q3,S,2024-07-21T00:00:00,1,28,4,1,84117.9242,88869.0,81680.0,224.31
AAPL,2024Q3,S,2024-07-23T00:00:00,1,28,5,1,84174.5313,88869.0,81680.0,225.01
AAPL,2024Q3,S,2024-07-24T00:00:00,1,28,5,1,84173.9052,88869.0,81680.0,218.54
AAPL,2024Q3,S,2024-07-25T00:00:00,1,28,6,1,84384.2623,88869.0,82917.7,217.49
AAPL,2024Q3,S,2024-07-26T00:00:00,1,28,7,1,84448.1834,88869.0,82917.7,217.96
AAPL,2024Q3,S,2024-07-29T00:00:00,1,28,7,1,84432.5395,88869.0,82917.7,218.24
AAPL,2024Q4,E,2023-08-02T00:00:00,6,20,5,1,1.5046,1.66,1.3,192.58
AAPL,2024Q4,E,2023-08-04T00:00:00,5,24,10,8,1.5332,1.6789,1.43,181.99
AAPL,2024Q4,E,2023-08-05T00:00:00,5,24,10,8,1.5332,1.6789,1.43,181.99
AAPL,2024Q4,E,2023-08-06T00:00:00,5,24,10,8,1.5332,1.6789,1.43,181.99
AAPL,2024Q4,E,2023-08-07T00:00:00,5,24,10,8,1.533,1.6789,1.43,178.85
AAPL,2024Q4,E,2023-08-08T00:00:00,5,24,10,8,1.533,1.6789,1.43,179.8
AAPL,2024Q4,E,2023-08-09T00:00:00,5,24,10,8,1.5329,1.6789,1.43,178.19
AAPL,2024Q4,E,2023-08-12T00:00:00,5,24,10,8,1.5329,1.6789,1.43,177.79
AAPL,2024Q4,E,2023-08-13T00:00:00,5,24,10,8,1.5329,1.6789,1.43,177.79
AAPL,2024Q4,E,2023-08-14T00:00:00,5,23,9,8,1.5321,1.6789,1.43,179.46
AAPL,2024Q4,E,2023-08-15T00:00:00,5,23,9,8,1.5321,1.6789,1.43,177.45
AAPL,2024Q4,E,2023-08-16T00:00:00,5,23,9,8,1.5321,1.6789,1.43,176.57
AAPL,2024Q4,E,2023-08-19T00:00:00,5,23,9,7,1.5321,1.6789,1.43,174.49
AAPL,2024Q4,E,2023-08-20T00:00:00,5,23,9,7,1.5321,1.6789,1.43,174.49
AAPL,2024Q4,E,2023-08-21T00:00:00,5,23,9,7,1.5321,1.6789,1.43,175.84
AAPL,2024Q4,E,2023-08-22T00:00:00,5,23,9,7,1.5321,1.6789,1.43,177.23
AAPL,2024Q4,E,2023-08-23T00:00:00,5,23,9,7,1.5321,1.6789,1.43,181.12
AAPL,2024Q4,E,2023-08-26T00:00:00,5,23,9,7,1.5321,1.6789,1.43,178.61
AAPL,2024Q4,E,2023-08-27T00:00:00,5,23,9,7,1.5321,1.6789,1.43,178.61
AAPL,2024Q4,E,2023-08-28T00:00:00,5,23,9,7,1.5321,1.6789,1.43,180.19
AAPL,2024Q4,E,2023-08-29T00:00:00,5,23,9,7,1.5321,1.6789,1.43,184.12
AAPL,2024Q4,E,2023-08-30T00:00:00,5,23,9,7,1.5321,1.6789,1.43,187.65
AAPL,2024Q4,E,2023-09-03T00:00:00,5,23,9,7,1.5321,1.6789,1.43,189.46
AAPL,2024Q4,E,2023-09-04T00:00:00,5,23,9,7,1.5321,1.6789,1.43,189.46
AAPL,2024Q4,E,2023-09-05T00:00:00,5,23,9,7,1.5321,1.6789,1.43,189.7
AAPL,2024Q4,E,2023-09-06T00:00:00,5,23,9,7,1.5319,1.6789,1.43,182.91
AAPL,2024Q4,E,2023-09-09T00:00:00,5,23,9,7,1.5319,1.6789,1.43,178.18
AAPL,2024Q4,E,2023-09-10T00:00:00,5,23,9,7,1.5319,1.6789,1.43,178.18
AAPL,2024Q4,E,2023-09-11T00:00:00,5,23,9,7,1.5319,1.6789,1.43,179.36
AAPL,2024Q4,E,2023-09-12T00:00:00,5,23,9,7,1.5321,1.6789,1.43,176.3
AAPL,2024Q4,E,2023-09-13T00:00:00,5,23,10,6,1.533,1.6789,1.43,174.21
AAPL,2024Q4,E,2023-09-14T00:00:00,5,24,10,6,1.5249,1.6789,1.34,175.74
AAPL,2024Q4,E,2023-09-15T00:00:00,5,23,10,6,1.5266,1.6789,1.34,175.01
AAPL,2024Q4,E,2023-09-16T00:00:00,5,23,10,6,1.5266,1.6789,1.34,175.01
AAPL,2024Q4,E,2023-09-17T00:00:00,5,23,10,6,1.5266,1.6789,1.34,175.01
AAPL,2024Q4,E,2023-09-18T00:00:00,5,23,10,6,1.5266,1.6789,1.34,177.97
AAPL,2024Q4,E,2023-09-19T00:00:00,5,23,10,6,1.5266,1.6789,1.34,179.07
AAPL,2024Q4,E,2023-09-20T00:00:00,5,23,10,6,1.5266,1.6789,1.34,175.49
AAPL,2024Q4,E,2023-09-23T00:00:00,5,23,10,6,1.5266,1.6789,1.34,174.79
AAPL,2024Q4,E,2023-09-24T00:00:00,5,23,10,6,1.5266,1.6789,1.34,174.79
AAPL,2024Q4,E,2023-09-25T00:00:00,5,23,10,6,1.5266,1.6789,1.34,176.08
AAPL,2024Q4,E,2023-09-26T00:00:00,5,23,10,6,1.5266,1.6789,1.34,171.96
AAPL,2024Q4,E,2023-09-27T00:00:00,5,23,10,6,1.5266,1.6789,1.34,170.43
AAPL,2024Q4,E,2023-09-30T00:00:00,5,23,10,6,1.5266,1.6789,1.34,171.21
AAPL,2024Q4,E,2023-10-01T00:00:00,5,23,10,6,1.5266,1.6789,1.34,171.21
AAPL,2024Q4,E,2023-10-02T00:00:00,5,23,10,6,1.5266,1.6789,1.34,173.75
AAPL,2024Q4,E,2023-10-03T00:00:00,5,23,10,6,1.5266,1.6789,1.34,172.4
AAPL,2024Q4,E,2023-10-04T00:00:00,5,23,10,6,1.5266,1.6789,1.34,173.66
AAPL,2024Q4,E,2023-10-07T00:00:00,5,23,10,6,1.5266,1.6789,1.34,177.49
AAPL,2024Q4,E,2023-10-08T00:00:00,5,23,10,6,1.5266,1.6789,1.34,177.49
AAPL,2024Q4,E,2023-10-09T00:00:00,5,23,10,6,1.5266,1.6789,1.34,178.99
AAPL,2024Q4,E,2023-10-10T00:00:00,5,23,10,6,1.5266,1.6789,1.34,178.39
AAPL,2024Q4,E,2023-10-11T00:00:00,5,23,10,6,1.5266,1.6789,1.34,179.8
AAPL,2024Q4,E,2023-10-14T00:00:00,5,23,9,6,1.5266,1.6789,1.34,178.85
AAPL,2024Q4,E,2023-10-15T00:00:00,5,23,9,6,1.5266,1.6789,1.34,178.85
AAPL,2024Q4,E,2023-10-16T00:00:00,5,23,8,7,1.5253,1.6789,1.34,178.72
AAPL,2024Q4,E,2023-10-17T00:00:00,5,24,8,7,1.5265,1.6789,1.34,177.15
AAPL,2024Q4,E,2023-10-18T00:00:00,5,24,0,1,1.5265,1.6789,1.34,175.84
AAPL,2024Q4,E,2023-10-21T00:00:00,5,24,0,1,1.5265,1.6789,1.34,172.88
AAPL,2024Q4,E,2023-10-22T00:00:00,5,24,0,1,1.5265,1.6789,1.34,172.88
AAPL,2024Q4,E,2023-10-23T00:00:00,5,24,0,1,1.5265,1.6789,1.34,173.0
AAPL,2024Q4,E,2023-10-24T00:00:00,5,25,0,2,1.5232,1.6789,1.34,173.44
AAPL,2024Q4,E,2023-10-25T00:00:00,5,25,1,2,1.524,1.6789,1.34,171.1
AAPL,2024Q4,E,2023-10-27T00:00:00,5,25,3,3,1.5218,1.62,1.37,168.22
AAPL,2024Q4,E,2023-10-28T00:00:00,5,25,3,3,1.5218,1.62,1.37,168.22
AAPL,2024Q4,E,2023-10-29T00:00:00,5,25,3,3,1.5218,1.62,1.37,168.22
AAPL,2024Q4,E,2023-10-30T00:00:00,5,25,5,3,1.5247,1.62,1.37,170.29
AAPL,2024Q4,E,2023-10-31T00:00:00,5,25,5,3,1.5247,1.62,1.37,170.77
AAPL,2024Q4,E,2023-11-03T00:00:00,4,31,10,8,1.5254,1.71,1.25,176.65
AAPL,2024Q4,E,2023-11-06T00:00:00,4,31,11,8,1.5268,1.71,1.25,179.23
AAPL,2024Q4,E,2023-11-09T00:00:00,4,31,12,7,1.5292,1.71,1.25,182.41
AAPL,2024Q4,E,2023-11-12T00:00:00,4,30,12,7,1.5282,1.71,1.25,186.4
AAPL,2024Q4,E,2023-12-12T00:00:00,4,30,12,7,1.5283,1.71,1.25,194.71
AAPL,2024Q4,E,2023-12-21T00:00:00,4,30,12,7,1.5287,1.71,1.25,194.68
AAPL,2024Q4,E,2023-12-27T00:00:00,4,30,12,7,1.5289,1.71,1.25,193.15
AAPL,2024Q4,E,2024-01-01T00:00:00,4,30,12,7,1.529,1.71,1.25,192.53
AAPL,2024Q4,E,2024-01-02T00:00:00,4,30,13,6,1.5366,1.71,1.37,185.64
AAPL,2024Q4,E,2024-01-05T00:00:00,4,30,13,7,1.536,1.71,1.37,181.18
AAPL,2024Q4,E,2024-01-07T00:00:00,4,30,13,6,1.536,1.71,1.37,181.18
AAPL,2024Q4,E,2024-01-08T00:00:00,4,30,12,7,1.5346,1.6717,1.37,185.56
AAPL,2024Q4,E,2024-01-10T00:00:00,4,30,11,7,1.5346,1.6717,1.37,186.19
AAPL,2024Q4,E,2024-01-12T00:00:00,4,31,11,7,1.5371,1.6717,1.38,185.92
AAPL,2024Q4,E,2024-01-15T00:00:00,4,31,11,7,1.5369,1.6717,1.38,185.92
AAPL,2024Q4,E,2024-01-17T00:00:00,4,31,3,2,1.5374,1.6717,1.38,182.68
AAPL,2024Q4,E,2024-01-18T00:00:00,4,30,5,2,1.5439,1.6717,1.38,188.63
AAPL,2024Q4,E,2024-01-20T00:00:00,4,30,4,2,1.5439,1.6717,1.38,191.56
AAPL,2024Q4,E,2024-01-23T00:00:00,4,30,3,2,1.5439,1.6717,1.38,195.18
AAPL,2024Q4,E,2024-01-24T00:00:00,4,30,4,3,1.5438,1.67,1.38,194.5
AAPL,2024Q4,E,2024-01-25T00:00:00,4,30,4,3,1.5439,1.6717,1.38,194.17
AAPL,2024Q4,E,2024-02-02T00:00:00,3,31,12,10,1.5426,1.68,1.38,185.85
